Catalog No,Box Number,Collection,Collector/Creator,Taxon/Item,Acquisition/Donar,Date Collected,Locality,Location,State,Country,Specimen Count,Specimen Nature,Database
CMNAV E1123,,Bird,"Anderson, Rudolph M.",Cygnus columbianus,[1915-100] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1123 Camden Bay,,,1,,
CMNAV E1124,,Bird,"Anderson, Rudolph M.",Gavia pacifica,[1915-100] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1124 Camden Bay,,,2,,
CMNAV E1125,,Bird,"Anderson, Rudolph M.",Branta bernicla,[1915-100] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1125 Camden Bay,,,4,,
CMNAV E1126,,Bird,"Anderson, Rudolph M.",Branta bernicla,[1915-100] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1126 Camden Bay,,,3,,
CMNAV E1127,,Bird,"Anderson, Rudolph M.",Gavia pacifica,[1915-100] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1127 Camden Bay,,,1,,
CMNAV E1128,,Bird,"Anderson, Rudolph M.",Calidris melanotos,[1915-100] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1128 Barter I.,,,4,,
CMNAV E1129,,Bird,"Anderson, Rudolph M.",Calidris pusilla,[1915-100] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1129 Barter I.,,,4,,
CMNAV E1130,,Bird,"Anderson, Rudolph M.",Somateria mollissima,[1915-100] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1130 Barter I.,,,5,,
CMNAV E1131,,Bird,"Anderson, Rudolph M.",Calidris bairdii,[1915-100] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1131 Barter I.,,,4,,
CMNAV E1132,,Bird,"Anderson, Rudolph M.",Calidris bairdii,[1915-100] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1132 Barter I.,,,4,,
CMNAV E1133,,Bird,"Anderson, Rudolph M.",Calcarius lapponicus,[1915-100] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E133 | Anderson-Dolphin and Union Strait-CMNAV E133,,,2,,
CMNAV E1134,,Bird,"Anderson, Rudolph M.",Calcarius lapponicus,[1915-100] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E133 | Anderson-Dolphin and Union Strait-CMNAV E133,,,4,,
CMNAV E1135,,Bird,"Anderson, Rudolph M.",Somateria mollissima,[1915-100] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E133 | Anderson-Dolphin and Union Strait-CMNAV E133,,,5,,
CMNAV E1136,,Bird,"Anderson, Rudolph M.",Larus hyperboreus,[1915-100] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1136 | Anderson-W Chantry I.-CMNAV E1136,,,2,,
CMNAV E1137,,Bird,"Anderson, Rudolph M.",Plectrophenax nivalis,[1915-100] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E133 | Anderson-Dolphin and Union Strait-CMNAV E133,,,2,,
CMNAV E1138,,Bird,"Anderson, Rudolph M.",Somateria mollissima,[1915-100] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E133 | Anderson-Dolphin and Union Strait-CMNAV E133,,,1,nest,
CMNAV E1139,,Bird,"Anderson, Rudolph M.",Somateria mollissima,[1915-100] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E133 | Anderson-Dolphin and Union Strait-CMNAV E133,,,5,,
CMNAV E1140,,Bird,"Anderson, Rudolph M.",Calidris bairdii,[1915-100] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E133 | Anderson-Dolphin and Union Strait-CMNAV E133,,,4,,
CMNAV E1141,,Bird,"Anderson, Rudolph M.",Calidris melanotos,[1915-100] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E133 | Anderson-Dolphin and Union Strait-CMNAV E133,,,4,,
CMNAV E1142,,Bird,"Anderson, Rudolph M.",Larus hyperboreus,[1915-100] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1142 Barter I.,,,1,,
CMNAV E1143,,Bird,"Anderson, Rudolph M.",Somateria mollissima,[1915-100] Canadian Arctic Expedition:donor (staff field trip),,,NO SITE | NO SITE- see note,,,1,nest,
CMNAV E1144,,Bird,"Anderson, Rudolph M.",Anser albifrons,[1915-100] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1144 Collinson Pt. (AK) (Cape),,,1,nest,
CMNAV E1145,,Bird,"Anderson, Rudolph M.",Plectrophenax nivalis,[1915-100] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1145 Collinson Pt. (AK) (Cape),,,1,nest,
CMNAV E1146,,Bird,"Anderson, Rudolph M.",Anthus rubescens,[1915-100] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1146 Collinson Pt. (AK) (Cape),,,1,nest,
CMNAV E1193,,Bird,"Anderson, Rudolph M.",Gavia adamsii Gray 1859,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1193 Fort Yukon,,,1,,
CMNAV E1194,,Bird,"Anderson, Rudolph M.",Somateria mollissima,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1194 Camden Bay,,,7,,
CMNAV E1195,,Bird,"Anderson, Rudolph M.",Somateria mollissima,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1195 Camden Bay,,,4,,
CMNAV E1196,,Bird,"Anderson, Rudolph M.",Somateria mollissima,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1196 Camden Bay,,,4,,
CMNAV E1197,,Bird,"Anderson, Rudolph M.",Somateria mollissima,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1197 Camden Bay,,,5,,
CMNAV E1198,,Bird,"Anderson, Rudolph M.",Somateria mollissima,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1198 Camden Bay,,,5,,
CMNAV E1199,,Bird,"Anderson, Rudolph M.",Somateria mollissima,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1199 Camden Bay,,,3,,
CMNAV E1200,,Bird,"Anderson, Rudolph M.",Somateria mollissima,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1200 Camden Bay,,,3,,
CMNAV E1201,,Bird,"Anderson, Rudolph M.",Somateria mollissima,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1201 Camden Bay,,,4,,
CMNAV E1204,,Bird,"Anderson, Rudolph M.",Larus hyperboreus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E133 | Anderson-Dolphin and Union Strait-CMNAV E133,,,2,,
CMNAV E1205,,Bird,"Anderson, Rudolph M.",Larus hyperboreus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1205 | Anderson-Small island SE of Chantry I.-CMNAV E1205,,,2,,
CMNAV E1206,,Bird,"Anderson, Rudolph M.",Calidris bairdii,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1206 | Anderson-Bernard Hbr. S Chantry I.-CMNAV E1206,,,4,,
CMNAV E1207,,Bird,"Anderson, Rudolph M.",Plectrophenax nivalis,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1207 | Anderson-Chantry I.-CMNAV E1207,,,6,,
CMNAV E1208,,Bird,"Anderson, Rudolph M.",Buteo lagopus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1208 | Anderson-Island near mouth Kugaryuak Riv.-CMNAV E1208 | island near mouth of Kugaryuak Riv.,,,1,,
CMNAV E1209,,Bird,"Anderson, Rudolph M.",Eremophila alpestris,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E133 | Anderson-Dolphin and Union Strait-CMNAV E133,,,1,,
CMNAV E1210,,Bird,"Anderson, Rudolph M.",Somateria spectabilis,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E133 | Anderson-Dolphin and Union Strait-CMNAV E133,,,5,,
CMNAV E1212,,Bird,"Anderson, Rudolph M.",Sterna paradisaea,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1212 | Anderson-Cockburn Pt.-CMNAV E1212,,,2,,
CMNAV E1213,,Bird,"Anderson, Rudolph M.",Sterna paradisaea,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1212 | Anderson-Cockburn Pt.-CMNAV E1212,,,2,,
CMNAV E1214,,Bird,"Anderson, Rudolph M.",Somateria mollissima,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1212 | Anderson-Cockburn Pt.-CMNAV E1212,,,7,,
CMNAV E1217,,Bird,"Anderson, Rudolph M.",Somateria mollissima,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1217 | Anderson-Bernard Hbr.-CMNAV E1217,,,1,nest,
CMNAV E1219,,Bird,"Anderson, Rudolph M.",Somateria mollissima,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1212 | Anderson-Cockburn Pt.-CMNAV E1212,,,2,,
CMNAV E1220,,Bird,"Anderson, Rudolph M.",Calcarius lapponicus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1220 Collinson Pt. (AK) (Cape),,,6,,
CMNAV E1221,,Bird,"Anderson, Rudolph M.",Plectrophenax nivalis,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1221 Flaxman I.,,,6,,
CMNAV E1222,,Bird,"Anderson, Rudolph M.",Branta bernicla,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1222 Camden Bay,,,1,,
CMNAV E2259,,Bird,"Anderson, Rudolph M.","Lanius borealis Vieillot, 1808",[1919-012] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E2259 Putugook Creek (Creek),,,2,,
CMNAV E2260,,Bird,"Anderson, Rudolph M.",Somateria mollissima,[1919-012] Canadian Arctic Expedition:donor (staff field trip),,,CMNAV E1217 | Anderson-Bernard Hbr.-CMNAV E1217,,,1,nest,
CMNC 1988-0244,,Crustacea,"Anderson, Rudolph M. O'Neill, J.J.","Saduria entomon (Linnaeus, 1758)",[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNC 1988-0244 | ONeill 1916 48a | Goulburn Is., point",,,2,,
CMNC 1988-0246,,Crustacea,"Anderson, Rudolph M.","Saduria entomon (Linnaeus, 1758)",[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNC 1988-0246 | Anderson 1916 48b | Bathurst Inlet,,,1,fluid,
CMNC 2006-0014,,Crustacea,"Anderson, Rudolph M.","Priscillina (Priscillina shoemakeri) Bousfield, MS",[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNC 1988-0246 | Anderson 1916 48b | Bathurst Inlet,,,1,fluid; slide,
CMNFI 1958-0087.1,,Fish,"Anderson, Rudolph M.",Arctogadus borisovi Drjagin 1932,,,,CMNFI 1958-0087 | Anderson-15 MAY 1916-CMNFI 58-0087.1 | Coronation Gulf,,,1,fluid,
CMNFI 1958-0087.2,,Fish,"Anderson, Rudolph M.","Arctogadus glacialis (Peters, 1872)",,,,CMNFI 1958-0087 | Anderson-15 MAY 1916-CMNFI 58-0087.1 | Coronation Gulf,,,1,fluid,
CMNI 1989-1182,,General Invertebrate,"Anderson, Rudolph M.",Strongylocentrotus droebachiensis (Muller 1776),[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNI 1989-1182 | Anderson 1915 44d,e | Bathurst Inlet",,,1,dry,
CMNMA 12444,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNMA 12444 | Anderson-WIN 1912-1913 | Cape Bathurst, Baillie Island",,,1,study skin,
CMNMA 12445,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNMA 12445 | Anderson-WIN 1912-1913 | Cape Bathurst, Baillie Island",,,1,study skin,
CMNMA 12446,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNMA 12446 | Anderson-WIN 1912-1913 | Cape Bathurst, Baillie Island",,,1,study skin,
CMNMA 12447,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNMA 12447 | Anderson-WIN 1912-1913 | Cape Bathurst, Baillie Island",,,1,study skin,
CMNMA 12448,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNMA 12448 | Anderson-WIN 1912-1913 | Cape Bathurst, Baillie Island",,,1,study skin,
CMNMA 12449,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNMA 12449 | Anderson-WIN 1912-1913 | Cape Bathurst, Baillie Island",,,1,study skin,
CMNMA 12450,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNMA 12450 | Anderson-WIN 1912-1913 | Cape Bathurst, Baillie Island",,,1,study skin,
CMNMA 12451,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNMA 12451 | Anderson-WIN 1912-1913 | Cape Bathurst, Baillie Island",,,1,study skin,
CMNMA 12452,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNMA 12452 | Anderson-WIN 1912-1913 | Cape Bathurst, Baillie Island",,,1,study skin,
CMNMA 12453,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNMA 12453 | Anderson-WIN 1912-1913 | Cape Bathurst, Baillie Island",,,1,study skin,
CMNMA 12454,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNMA 12454 | Anderson-WIN 1912-1913 | Cape Bathurst, Baillie Island",,,1,study skin,
CMNMA 12455,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNMA 12455 | Anderson-WIN 1912-1913 | Cape Bathurst, Baillie Island",,,1,study skin,
CMNMA 12456,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNMA 12456 | Anderson-WIN 1912-1913 | Cape Bathurst, Baillie Island",,,1,study skin,
CMNMA 12457,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNMA 12457 | Anderson-WIN 1912-1913 | Cape Bathurst, Baillie Island",,,1,study skin,
CMNMA 12458,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNMA 12458 | Anderson-WIN 1912-1913 | Cape Bathurst, Baillie Island",,,1,study skin,
CMNMA 12459,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNMA 12459 | Anderson-WIN 1912-1913 | Cape Bathurst, Baillie Island",,,1,study skin,
CMNMA 12460,,Mammal,"Anderson, Rudolph M.",Dicrostonyx groenlandicus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNMA 12460 | Anderson-WIN 1912-1913 | Cape Bathurst, Baillie Island",,,1,study skin,
CMNMA 12461,,Mammal,"Anderson, Rudolph M.",Lemmus trimucronatus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNMA 12461 | Anderson-WIN 1912-1913 | Cape Bathurst, Baillie Island",,,1,study skin,
CMNMA 12462,,Mammal,"Anderson, Rudolph M.",Lemmus trimucronatus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNMA 12462 | Anderson-WIN 1912-1913 | Cape Bathurst, Baillie Island",,,1,study skin,
CMNMA 12463,,Mammal,"Anderson, Rudolph M.",Lemmus trimucronatus,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNMA 12463 | Anderson-WIN 1912-1913 | Cape Bathurst, Baillie Island",,,1,study skin,
