Catalog No,Box Number,Collection,Collector/Creator,Taxon/Item,Acquisition/Donar,Date Collected,Locality,Location,State,Country,Specimen Count,Specimen Nature,Database
CMNA 1900-2910,,Annelid,Frits Johansen,Ampharete eupalea,Canadian Arctic Expedition,1913-08-19,Blossom Shoals,,Alaska,USA,1,,Specimen
CMNA 1900-2911,,Annelid,Frits Johansen,Ampharete johanseni,Canadian Arctic Expedition,1913-10-03,Camden Bay,Beaufort Sea,Alaska,USA,1,,Specimen
CMNA 1900-2912,,Annelid,Frits Johansen,Ampharete reducta,Canadian Arctic Expedition,1913-10-03,Camden Bay,Beaufort Sea,Alaska,USA,3,,Specimen
CMNA 1900-2914,,Annelid,Frits Johansen,Arctonoe lia,Canadian Arctic Expedition,1913-08-04,Granite Harbor,Bering Strait,Alaska,USA,4,,Specimen
CMNA 1900-8295,,Annelid,Frits Johansen,Malmiana scropii,Canadian Arctic Expedition,1915-09-22,Inner Harbour,Dolphin and Union Strait,Northwest Territories & Nunavut,Canada,2,,Specimen
CMNA 1900-8296,,Annelid,Frits Johansen,Malmiana scropii,Canadian Arctic Expedition,1916-06-15,Inner Harbour,Dolphin and Union Strait,Northwest Territories & Nunavut,Canada,5,,Specimen
CMNA 1900-8298,,Annelid,Frits Johansen,Oxytonostoma typica,Canadian Arctic Expedition,1915-07-20,Outer Harbour,Dolphin and Union Strait,Northwest Territories & Nunavut,Canada,1,,Specimen
CMNA 1900-8366,,Annelid,Frits Johansen,Anaspio boreus,Canadian Arctic Expedition,1913-09-20,Lagoon,,,,1,,Specimen
CMNA 1900-8367,,Annelid,Frits Johansen,Spio mimus,Canadian Arctic Expedition,1913-09-20,Lagoon,,,,1,,Specimen
CMNA 1900-8368,,Annelid,Frits Johansen,Scolecolepides arcticus,Canadian Arctic Expedition,1913-09-20,Lagoon,,,,1,,Specimen
CMNAC 1992-001-001,1,,Rudolph M. Anderson,Field Notes of Rudolph M. Anderson,Rudolph M. Anderson,May 1913 to September 1913,Canadian Museum of Nature,Ottawa,Ontario,Canada,,Document,Archival
CMNAC 1992-001-008,1,,Rudolph M. Anderson,Various notes books,Rudolph M. Anderson,1913-1916,Canadian Museum of Nature,Ottawa,Ontario,Canada,,Document,Archival
CMNAC 1992-001-010,1,,Rudolph M. Anderson,Geological Survey of Ottawa-Notes,Rudolph M. Anderson,1913-1918,Canadian Museum of Nature,Ottawa,Ontario,Canada,9,Document,Archival
CMNAC 1992-001-022,2,Bird,Rudolph M. Anderson,Arctic Birds,Rudolph M. Anderson,1918,Canadian Museum of Nature,Ottawa,Ontario,Canada,,Document,Archival
CMNAC 1992-001-026,3,,Rudolph M. Anderson,Report to Deputy Minister on Southern Party,Rudolph M. Anderson,1913-1916,Canadian Museum of Nature,Ottawa,Ontario,Canada,,Document,Archival
CMNAC 1992-001-032,3,,Rudolph M. Anderson,Correspondence,Rudolph M. Anderson,1917,Canadian Museum of Nature,Ottawa,Ontario,Canada,,Document,Archival
CMNAC 1992-001-053,4,,William Laird McKinlay,Statement on Sinking of Karluk,Rudolph M. Anderson,1914,Canadian Museum of Nature,Ottawa,Ontario,Canada,,Newspaper Clipping,Archival
CMNAC 1992-001-054,4,,Rudolph M. Anderson,Correspondence: Canadian Arctic Expedition Northern Party,Rudolph M. Anderson,1915-1919,Canadian Museum of Nature,Ottawa,Ontario,Canada,,Document,Archival
CMNAC 1992-001-054,4,,John Hadley,Observations,Rudolph M. Anderson,1915-1918,Canadian Museum of Nature,Ottawa,Ontario,Canada,,Document,Archival
CMNAC 1992-001-083,6,,,Karluk,Rudolph M. Anderson,,Canadian Museum of Nature,Ottawa,Ontario,Canada,,Photograph,Archival
CMNAC 1992-001-085,7,"Mammal, Bird, [Botany]",,Glass Plates,Rudolph M. Anderson,,Canadian Museum of Nature,Ottawa,Ontario,Canada,,Photograph,Archival
CMNAC 1992-001-089,8,Botany,,"Glass Plates, CAE Vegitation",Rudolph M. Anderson,,Canadian Museum of Nature,Ottawa,Ontario,Canada,,Photograph,Archival
CMNAC 1992-001-091,8,,,"Glass Plates, John Hadley Prints",Rudolph M. Anderson,1916-1918,Canadian Museum of Nature,Ottawa,Ontario,Canada,,Photograph,Archival
CMNAC 1992-001-091,8,,,"Glass Plates, CAE People",Rudolph M. Anderson,,Canadian Museum of Nature,Ottawa,Ontario,Canada,,Photograph,Archival
CMNAC 1992-001-092,9,,,"Glass Plates, B & W Prints, John Hadley",Rudolph M. Anderson,1916-1917,Canadian Museum of Nature,Ottawa,Ontario,Canada,,Photograph,Archival
CMNAV 10000,,Bird,Rudolph M. Anderson,Eremophila alpestris,Canadian Arctic Expedition,1916-05-30,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10001,,Bird,Rudolph M. Anderson,Eremophila alpestris,Canadian Arctic Expedition,1916-05-30,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10002,,Bird,Rudolph M. Anderson,Calcarius lapponicus,Canadian Arctic Expedition,1916-05-30,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10003,,Bird,Rudolph M. Anderson,Stercorarius pomarinus,Canadian Arctic Expedition,1916-06-14,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10004,,Bird,Rudolph M. Anderson,Xema sabini,Canadian Arctic Expedition,1916-07-14,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10005,,Bird,Rudolph M. Anderson,Xema sabini,Canadian Arctic Expedition,1916-06-14,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10006,,Bird,Rudolph M. Anderson,Xema sabini,Canadian Arctic Expedition,1916-06-14,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10007,,Bird,Rudolph M. Anderson,Xema sabini,Canadian Arctic Expedition,1916-06-14,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10008,,Bird,Rudolph M. Anderson,Xema sabini,Canadian Arctic Expedition,1916-06-14,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10009,,Bird,Rudolph M. Anderson,Stercorarius pomarinus,Canadian Arctic Expedition,1916-06-14,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10010,,Bird,Rudolph M. Anderson,Somateria mollissima,Canadian Arctic Expedition,1916-06-12,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10011,,Bird,Rudolph M. Anderson,Somateria mollissima,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10012,,Bird,Rudolph M. Anderson,Stercorarius pomarinus,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10013,,Bird,Rudolph M. Anderson,Stercorarius pomarinus,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10014,,Bird,Rudolph M. Anderson,Pluvialis squatarola,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10015,,Bird,Rudolph M. Anderson,Lagopus lagopus,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10016,,Bird,Rudolph M. Anderson,Xema sabini,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10017,,Bird,Rudolph M. Anderson,Xema sabini,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10018,,Bird,Rudolph M. Anderson,Xema sabini,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10019,,Bird,Rudolph M. Anderson,Asio flammeus,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10020,,Bird,Rudolph M. Anderson,Stercorarius pomarinus,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10021,,Bird,Rudolph M. Anderson,Calidris bairdii,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10022,,Bird,Rudolph M. Anderson,Plectrophenax nivalis,Canadian Arctic Expedition,,Chantry Island,Lake Huron,Ontario,Canada,1,skin / peau,Specimen
CMNAV 10023,,Bird,Rudolph M. Anderson,Plectrophenax nivalis,Canadian Arctic Expedition,,Chantry Island,Lake Huron,Ontario,Canada,1,skin / peau,Specimen
CMNAV 10024,,Bird,Rudolph M. Anderson,Pluvialis dominica,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10025,,Bird,Rudolph M. Anderson,Xema sabini,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10026,,Bird,Rudolph M. Anderson,Clangula hyemalis,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10027,,Bird,Rudolph M. Anderson,Clangula hyemalis,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10028,,Bird,Rudolph M. Anderson,Clangula hyemalis,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10029,,Bird,Rudolph M. Anderson,Clangula hyemalis,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10030,,Bird,Rudolph M. Anderson,Charadrius semipalmatus,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10031,,Bird,Rudolph M. Anderson,Somateria spectabilis,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10032,,Bird,Rudolph M. Anderson,Pluvialis dominica,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10033,,Bird,Rudolph M. Anderson,Gavia adamsii,Canadian Arctic Expedition,,Fishing Creek,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10034,,Bird,Rudolph M. Anderson,Somateria mollissima,Canadian Arctic Expedition,,Cockburn Point,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10035,,Bird,Rudolph M. Anderson,Somateria spectabilis,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10036,,Bird,Rudolph M. Anderson,Somateria spectabilis,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10037,,Bird,Rudolph M. Anderson,Corvus corax,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10038,,Bird,John R. Cox,Somateria spectabilis,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10039,,Bird,John R. Cox,Stercorarius longicaudus,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10040,,Bird,Rudolph M. Anderson,Eremophila alpestris,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10041,,Bird,Rudolph M. Anderson,Eremophila alpestris,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10042,,Bird,Rudolph M. Anderson,Calcarius lapponicus,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10043,,Bird,Rudolph M. Anderson,Calcarius lapponicus,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10044,,Bird,Rudolph M. Anderson,Calcarius lapponicus,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10045,,Bird,Rudolph M. Anderson,Calidris bairdii,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10046,,Bird,Rudolph M. Anderson,Calidris bairdii,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10047,,Bird,Rudolph M. Anderson,Calidris bairdii,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10048,,Bird,Rudolph M. Anderson,Calidris bairdii,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10049,,Bird,Rudolph M. Anderson,Somateria mollissima,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10050,,Bird,Rudolph M. Anderson,Clangula hyemalis,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10051,,Bird,Rudolph M. Anderson,Somateria mollissima,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10052,,Bird,Rudolph M. Anderson,Clangula hyemalis,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10053,,Bird,Rudolph M. Anderson,Gavia stellata,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10054,,Bird,Rudolph M. Anderson,Gavia stellata,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10055,,Bird,Rudolph M. Anderson,Stercorarius parasiticus,Canadian Arctic Expedition,,Cockburn Point,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10056,,Bird,Rudolph M. Anderson,Sterna paradisaea,Canadian Arctic Expedition,,Cockburn Point,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10057,,Bird,"Aiyakuk, Rudolph M. Anderson",Surnia ulula,Canadian Arctic Expedition,,International Boundry,Endicott Mountains,Alaska,Canada,1,skin / peau,Specimen
CMNAV 10058,,Bird,"Aiyakuk, Rudolph M. Anderson",Surnia ulula,Canadian Arctic Expedition,,International Boundry,Endicott Mountains,Alaska,Canada,1,skin / peau,Specimen
CMNAV 10059,,Bird,"Aiyakuk, Rudolph M. Anderson",Turdus migratorius,Canadian Arctic Expedition,,Kangipat,Turner River,Alaska,USA,1,skin / peau,Specimen
CMNAV 10060,,Bird,"Aiyakuk, Rudolph M. Anderson",Turdus migratorius,Canadian Arctic Expedition,,Kangikat,Turner River,Alaska,USA,1,skin / peau,Specimen
CMNAV 10061,,Bird,"Aiyakuk, Rudolph M. Anderson",Perisoreus canadensis,Canadian Arctic Expedition,,Ivevak River,Salmon River,Alaska,USA,1,skin / peau,Specimen
CMNAV 10062,,Bird,"Aiyakuk, Rudolph M. Anderson",Perisoreus canadensis,Canadian Arctic Expedition,,Ivevak River,Salmon River,Alaska,USA,1,skin / peau,Specimen
CMNAV 10063,,Bird,"Aiyakuk, Rudolph M. Anderson",Perisoreus canadensis,Canadian Arctic Expedition,,Pikalo River,Salmon River,Alaska,USA,1,skin / peau,Specimen
CMNAV 10064,,Bird,"Aiyakuk, Rudolph M. Anderson",Perisoreus canadensis,Canadian Arctic Expedition,,Pikalo River,Salmon River,Alaska,USA,1,skin / peau,Specimen
CMNAV 10065,,Bird,Rudolph M. Anderson,Lanius borealis,Canadian Arctic Expedition,,Pikalo River,Salmon River,Alaska,USA,1,skin / peau,Specimen
CMNAV 10066,,Bird,"Aiyakuk, Rudolph M. Anderson",Gavia adamsii,Canadian Arctic Expedition,,Fort Yukon,Salmon River,Alaska,USA,1,,Specimen
CMNAV 10067,,Bird,"W. V. Bruce, Rudolph M. Anderson",Sterna paradisaea,Canadian Arctic Expedition,,Cape Bathurst,Cape Bathurst,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10068,,Bird,"W. V. Bruce, Rudolph M. Anderson",Calidris alba,Canadian Arctic Expedition,,Cape Bathurst,Cape Bathurst,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10069,,Bird,"W. V. Bruce, Rudolph M. Anderson",Calidris alba,Canadian Arctic Expedition,,Cape Bathurst,Cape Bathurst,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10070,,Bird,"W. V. Bruce, Rudolph M. Anderson",Calidris alba,Canadian Arctic Expedition,,Cape Bathurst,Cape Bathurst,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10071,,Bird,T. L. Richardson,Cepphus grylle,Canadian Arctic Expedition,,Point Barrow,Point Barrow,Alaska,USA,1,skin / peau,Specimen
CMNAV 10072,,Bird,Rudolph M. Anderson,Charadrius semipalmatus,Canadian Arctic Expedition,,Young Point,Amundsen Gulf,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10073,,Bird,Rudolph M. Anderson,Hydrobates leucorhoa,Canadian Arctic Expedition,,Gulf of Alaska,Unimak Pass,Alaska,USA,1,skin / peau,Specimen
CMNAV 10074,,Bird,George H. Wilkins,Stercorarius pomarinus,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10075,,Bird,George H. Wilkins,Stercorarius pomarinus,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10076,,Bird,George H. Wilkins,Stercorarius pomarinus,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10077,,Bird,George H. Wilkins,Stercorarius pomarinus,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10078,,Bird,George H. Wilkins,Stercorarius pomarinus,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10079,,Bird,Peter Bernard,Stercorarius pomarinus,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10080,,Bird,Peter Bernard,Stercorarius longicaudus,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10081,,Bird,Peter Bernard,Stercorarius longicaudus,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10082,,Bird,Peter Bernard,Larus hyperboreus,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10083,,Bird,Peter Bernard,Larus glaucoides thayeri,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10084,,Bird,Peter Bernard,Larus glaucoides thayeri,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10085,,Bird,George H. Wilkins,Larus glaucoides thayeri,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10086,,Bird,George H. Wilkins,Larus glaucoides thayeri,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10087,,Bird,Peter Bernard,"Clangula hyemalis Linnaeus, 1758",Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10088,,Bird,Peter Bernard,"Clangula hyemalis Linnaeus, 1758",Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10089,,Bird,Peter Bernard,"Clangula hyemalis Linnaeus, 1758",Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10090,,Bird,Peter Bernard,"Clangula hyemalis Linnaeus, 1758",Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10091,,Bird,Peter Bernard,Somateria mollissima,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10092,,Bird,Peter Bernard,Somateria mollissima,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10093,,Bird,Peter Bernard,Somateria mollissima,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10094,,Bird,Peter Bernard,Somateria spectabilis,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10095,,Bird,Peter Bernard,Somateria spectabilis,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10096,,Bird,Peter Bernard,Somateria spectabilis,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10097,,Bird,Peter Bernard,Somateria spectabilis,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10098,,Bird,Peter Bernard,Somateria spectabilis,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10099,,Bird,Peter Bernard,Somateria spectabilis,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10100,,Bird,Peter Bernard,Somateria spectabilis,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10101,,Bird,Peter Bernard,Somateria spectabilis,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10102,,Bird,George H. Wilkins,Somateria spectabilis,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,,Specimen
CMNAV 10103,,Bird,George H. Wilkins,Somateria spectabilis,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10104,,Bird,Peter Bernard,Somateria spectabilis,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10105,,Bird,Peter Bernard,Somateria spectabilis,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10106,,Bird,Peter Bernard,Somateria spectabilis,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10107,,Bird,Peter Bernard,Somateria spectabilis,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10108,,Bird,Peter Bernard,Anser caerulescens,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10109,,Bird,Peter Bernard,Anser caerulescens,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10110,,Bird,Peter Bernard,Anser caerulescens,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10111,,Bird,Peter Bernard,Anser caerulescens,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10112,,Bird,George H. Wilkins,Branta bernicla nigricans,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10113,,Bird,George H. Wilkins,Branta bernicla nigricans,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10114,,Bird,George H. Wilkins,Branta bernicla nigricans,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10115,,Bird,Peter Bernard,Branta bernicla nigricans,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10116,,Bird,Peter Bernard,Antigone canadensis,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10117,,Bird,George H. Wilkins,Calidris alba,Canadian Arctic Expedition,,Cape Lambton,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10118,,Bird,George H. Wilkins,Calidris alba,Canadian Arctic Expedition,,Cape Lambton,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10119,,Bird,Peter Bernard,Calidris fuscicollis,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10120,,Bird,Peter Bernard,Pluvialis squatarola,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10121,,Bird,Peter Bernard,Pluvialis squatarola,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10122,,Bird,Peter Bernard,Pluvialis squatarola,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10123,,Bird,George H. Wilkins,Pluvialis squatarola,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10124,,Bird,George H. Wilkins,Pluvialis squatarola,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10125,,Bird,George H. Wilkins,Pluvialis squatarola,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10126,,Bird,George H. Wilkins,Lagopus lagopus,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10127,,Bird,George H. Wilkins,Lagopus lagopus,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
